Date,Open,High,Low,Close,Adj Close,Volume
01-01-2004,45.528999,45.645,45.375,45.387001,45.387001,0
08-01-2004,45.391998,45.494999,45.23,45.327999,45.327999,0
15-01-2004,45.334,45.393002,45.275002,45.306999,45.306999,0
22-01-2004,45.325001,45.342999,45.185001,45.252998,45.252998,0
29-01-2004,45.262001,45.299999,45,45.209,45.209,0
05-02-2004,45.207001,45.244999,45.080002,45.188,45.188,0
12-02-2004,45.189999,45.373001,45.095001,45.169998,45.169998,0
19-02-2004,45.175999,45.286999,45.115002,45.186001,45.186001,0
26-02-2004,45.188999,45.216999,45.064999,45.150002,45.150002,0
04-03-2004,45.151001,45.254002,45.051998,45.109001,45.109001,0
11-03-2004,45.108002,45.278999,45.096001,45.171001,45.171001,0
18-03-2004,45.168999,45.188,44.615002,44.655998,44.655998,0
25-03-2004,44.671001,44.696999,43.294998,43.334,43.334,0
01-04-2004,43.331001,43.716999,43.275002,43.381001,43.381001,0
08-04-2004,43.384998,43.717999,43.366001,43.667999,43.667999,0
15-04-2004,43.672001,43.990002,43.630001,43.981998,43.981998,0
22-04-2004,43.924999,44.153,43.82,44.105999,44.105999,0
29-04-2004,44.105999,44.889999,44.09,44.562,44.562,0
06-05-2004,44.568001,45.380001,44.380001,45.312,45.312,0
13-05-2004,45.308998,45.898998,44.950001,45.077999,45.077999,0
20-05-2004,45.084,45.334999,45.046001,45.265999,45.265999,0
27-05-2004,45.384998,45.505001,45.257,45.348999,45.348999,0
03-06-2004,45.348999,45.396,44.806,44.827,44.827,0
10-06-2004,44.828999,45.354,44.801998,45.326,45.326,0
17-06-2004,45.327999,46.18,45.312,45.542999,45.542999,0
24-06-2004,45.541,46.025002,45.526001,45.888,45.888,0
01-07-2004,45.900002,46,45.501999,45.728001,45.728001,0
08-07-2004,45.734001,45.93,45.549999,45.868999,45.868999,0
15-07-2004,45.882,46.130001,45.855,46.007,46.007,0
22-07-2004,46.007999,46.318001,45.995998,46.266998,46.266998,0
29-07-2004,46.264,46.415001,46.18,46.305,46.305,0
05-08-2004,46.310001,46.41,46.111,46.210999,46.210999,0
12-08-2004,46.209999,46.347,46.105,46.257,46.257,0
19-08-2004,46.257,46.285,46.115002,46.244999,46.244999,0
26-08-2004,46.244999,46.326,46.165001,46.245998,46.245998,0
02-09-2004,46.251999,46.301998,46.099998,46.243999,46.243999,0
09-09-2004,46.249001,46.271,45.709999,45.750999,45.750999,0
16-09-2004,45.748001,45.886002,45.693001,45.709999,45.709999,0
23-09-2004,45.707001,46.095001,45.705002,45.847,45.847,0
30-09-2004,45.849998,45.958,45.73,45.748001,45.748001,0
07-10-2004,45.75,45.801998,45.624001,45.766998,45.766998,0
14-10-2004,45.77,45.804001,45.625,45.687,45.687,0
21-10-2004,45.688999,45.709999,45.474998,45.561001,45.561001,0
28-10-2004,45.546001,45.569,45.216999,45.233002,45.233002,0
04-11-2004,45.240002,45.241001,44.939999,45.057999,45.057999,0
11-11-2004,45.069,45.132,44.837002,44.855999,44.855999,0
18-11-2004,44.848,45.080002,44.839001,44.963001,44.963001,0
25-11-2004,44.962002,45.006001,44.212002,44.23,44.23,0
02-12-2004,44.229,44.273998,43.560001,43.764999,43.764999,0
09-12-2004,43.771,44.66,43.757,43.931,43.931,0
16-12-2004,43.931999,43.971001,43.639,43.77,43.77,0
23-12-2004,43.771999,43.784,43.52,43.529999,43.529999,0
30-12-2004,43.532001,43.755001,43.25,43.589001,43.589001,0
06-01-2005,43.591,43.959,43.512001,43.530998,43.530998,0
13-01-2005,43.528999,43.778999,43.470001,43.52,43.52,0
20-01-2005,43.508999,43.762001,43.485001,43.66,43.66,0
27-01-2005,43.653,43.720001,43.219002,43.240002,43.240002,0
03-02-2005,43.230999,43.664001,43.220001,43.639999,43.639999,0
10-02-2005,43.632,43.759998,43.566002,43.639999,43.639999,0
17-02-2005,43.631001,43.77,43.535999,43.66,43.66,0
24-02-2005,43.655998,43.666,43.52,43.639999,43.639999,0
03-03-2005,43.632,43.678001,43.529999,43.580002,43.580002,0
10-03-2005,43.568001,43.595001,43.396999,43.549999,43.549999,0
17-03-2005,43.539001,43.779999,43.450001,43.66,43.66,0
24-03-2005,43.643002,43.830002,43.580002,43.75,43.75,0
31-03-2005,43.735001,43.82,43.472,43.68,43.68,0
07-04-2005,43.667999,43.759998,43.549999,43.68,43.68,0
14-04-2005,43.664001,43.830002,43.551998,43.580002,43.580002,0
21-04-2005,43.562,43.751999,43.52,43.580002,43.580002,0
28-04-2005,43.577,43.722,43.349998,43.459999,43.459999,0
05-05-2005,43.394001,43.527,43.130001,43.220001,43.220001,0
12-05-2005,43.208,43.599998,43.18,43.380001,43.380001,0
19-05-2005,43.367001,43.544998,43.314999,43.459999,43.459999,0
26-05-2005,43.450001,43.766998,43.384998,43.720001,43.720001,0
02-06-2005,43.710999,43.728001,43.384998,43.419998,43.419998,0
09-06-2005,43.411999,43.66,43.34,43.5,43.5,0
16-06-2005,43.487999,43.612,43.391998,43.419998,43.419998,0
23-06-2005,43.41,43.575001,43.380001,43.48,43.48,0
30-06-2005,43.469002,43.582001,43.375,43.5,43.5,0
07-07-2005,43.490002,43.632,43.401001,43.411999,43.411999,0
14-07-2005,43.419998,44.409,43.380001,43.450001,43.450001,0
21-07-2005,43.450001,43.564999,43,43.34,43.34,0
28-07-2005,43.349998,43.532001,43.258999,43.369999,43.369999,0
04-08-2005,43.387001,43.567001,43.330002,43.450001,43.450001,0
11-08-2005,43.459999,43.59,43.358002,43.459999,43.459999,0
18-08-2005,43.452999,43.75,43.43,43.700001,43.700001,0
25-08-2005,43.627998,44.130001,43.584999,43.98,43.98,0
01-09-2005,43.966,44.112,43.632,43.82,43.82,0
08-09-2005,43.812,43.931,43.700001,43.82,43.82,0
15-09-2005,43.792,43.962002,43.759998,43.84,43.84,0
22-09-2005,43.895,44.064999,43.759998,44,44,0
29-09-2005,43.984001,44.290001,43.845001,44.200001,44.200001,0
06-10-2005,44.186001,44.950001,44.099998,44.75,44.75,0
13-10-2005,44.669998,45.375,44.660999,45.09,45.09,0
20-10-2005,45.091999,45.222,44.869999,44.939999,44.939999,0
27-10-2005,44.931999,45.285,44.900002,45.169998,45.169998,0
